	Cluster	Zero-Order	M-Order	T-Order	ProposedMethod	Farah	Zainab
0	0	ترکی شام	ترک فوجی کارروائی	ترکی شام	ترکی کی شام میں فوجی کارروائی	ترکی شام کاروائی	ترکی کی شام میں فوجی کاروائی
1	1	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈینگی کے مریضوں	لاہور میں ڈینگی	ڈینگی کے حوالے سے ڈی سی لاہور کے دورے
2	2	ڈینگی مچھر	سی ای او ہیلتھ خانیوال	سی ای او ہیلتھ خانیوال	انعقاد احتیاطی تدابیر اپنا کر ڈینگی پر قابو	ڈینگی کی احیتاط	ڈینگی سے احتیاط
3	3	سی پیک اتھارٹی بارے	حکام	حکام	حکام سی پیک اتھارٹی	سی پیک کا قیام	سی پیک سے روزگار کے مواقع
4	4	وزیراعظم عمران خان	وزیراعظم عمران خان	وزیر اعظم عمران خان	پاکستان اور چین سی پیک	سی پیک	سی پیک
5	5	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ نے ڈینگی کی رپورٹ	ضلعی انتظامیہ	ضلعی انتظامیہ نے ڈینگی رپورٹ جاری کردی
6	6	پریشان عمران خان	پی ٹی آئی حکومت عمران خان	پی ٹی آئی حکومت عمران خان	No title constructed	فیصل آباد میں ڈینگی	ڈینگی کیسز سامنے آنے کے بعد مقدمات درج
7	7	کشمیری عوام کیساتھ اظہار یکجہتی	طاقت کشمیری حریت پسندوں	کشمیری عوام کیساتھ اظہار یکجہتی	کشمیریوں سے اظہار یکجہتی کیلئے ریلی	اظہار یکجہتی کیلئے ریلی	کشمیریوں سے اظہار یکجہتی
8	8	پاک سری لنکن ٹی ٹونٹی کرکٹ سیریز سکیورٹی	سری لنکن	سری لنکا	No title constructed	سری لنکن ٹیم	پاکستان اور سری لنکا کے درمیان کرکٹ سیریز
9	9	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس	ڈینگی وائرس کی روک تھام	ڈینگی کیسز میں اضافہ
10	10	خیبر پختونخوا	مزید کیسز تعداد	مزید کیسز تعداد	ڈینگی کے مریضوں کی تعداد	ڈینگی بے قابو	ڈینگی مریضوں کی تعداد میں اضافہ
11	11	ڈپٹی کمشنر محمد سیف انور جپہ	ڈپٹی کمشنر جہلم محمد سیف انور جپہ	ڈپٹی کمشنر محمد سیف انور جپہ	No title constructed	ڈینگی کا خاتمہ	ڈینگی کے خاتمے کیلۓ احتیاطی تدابیر
12	12	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی کے حوالے	ڈینگی کی تازہ ترین صورتحال	ڈینگی کی تازہ صورتحال کا جائزہ
